Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
GOTERM_CC_DIRECT,GO:0000785~chromatin,176,6.285714286,9.66E-05,"ATF2, RIF1, JMJD1C, NUCKS1, RORA, SOX21, LOXL2, SOX2, ELK4, UXT, SOX3, HMGN4, CCND2, CREB3L4, BASP1, SOX15, CREB3L1, POGZ, CAPN2, BBX, SOX9, HMGN2, ARID2, SOX5, TSPYL2, MEF2A, SMARCC1, SMARCC2, ESCO1, USP3, ZBTB37, FOXH1, RFX3, SOX11, PPP4R3B, POU3F4, MSH6, MYCL, THAP5, MAF, RFX5, TIMELESS, ZNF711, ADNP, ZFPM1, CLOCK, ATF6, TSPYL5, KMT2E, L3MBTL1, HOMEZ, MAGED1, TSHZ2, UBR2, NPAS1, FOXO1, RAD21, ZBED1, OTX2, BPTF, SMAD2, CBX7, TFAP2C, SMAD4, JUND, FANCM, CBX1, POU6F2, PBX3, PBX2, SMAD9, NR1D2, FOXN3, POU2F2, SMARCA1, ZFHX4, SMAD5, WAPL, PBX1, NFATC4, NFKB2, MLXIPL, FER, STAG2, LHX1, BHLHE40, MYF6, REL, CHMP2A, TCF4, HBP1, SP8, RCOR2, PAM, TP73, FANK1, CALCOCO1, CSRNP3, BNC2, CITED2, CHD7, ONECUT1, AKAP8L, BHLHE41, HMGB2, CHD6, CHD4, CHD3, HIF3A, ZC3H6, CHD2, HHEX, CHAF1B, HPF1, NIPBL, DBP, BCL7A, SIN3A, KLF11, KLF13, FOXD1, OLIG3, NCOA3, TCF12, TFE3, TFEB, OLIG1, SIRT1, RBL2, ZEB1, NCOR1, AEBP2, ELF3, PPARA, PLCB1, TRIM56, NFAT5, KDM3A, KDM3B, SATB1, HDAC1, PBXIP1, NSD3, MUC1, NFIL3, CUX1, HSF2, NSD2, MXI1, BRD7, ZNF740, TRIM45, HES4, TCFL5, IRX1, TCF7L2, IRX2, CDX4, KDM4C, ZNF580, IRX3, STAT2, MGA, NAP1L3, NAP1L1, TBX6, MEIS3, KLF4, NAP1L5, GATAD2B, KLF8, PINK1, TEF, NFIA, NFIB, TAF1",2549,654,12267,1.295100435,0.095811266,0.100712301,0.100712301
GOTERM_CC_DIRECT,GO:0005813~centrosome,134,4.785714286,9.88E-04,"ITSN2, CEP126, SPPL2B, CCP110, UXT, CAPN7, RNF19A, NEK1, CEP250, RTTN, CEP97, ZNF322, CDK5RAP3, CDK5RAP2, CDKL2, CDKL5, FBXW11, SPICE1, IFT80, ZNF12, PPP4R3B, CLIP1, KATNAL1, FAM161A, IFT81, FEZ1, AKAP9, OBSL1, BRSK1, CUL7, BOD1L1, ARL2, NDRG1, CAMSAP2, DYNC2LI1, ODF2L, SPAST, CEP70, ZBED1, CEP192, PIBF1, DRD4, CNTLN, NEK9, ANKRD26, CEP112, SMAD4, CCDC14, CEP350, RAB3IP, TBCD, HOOK3, WAPL, AHI1, CCDC88A, CDK6, HOOK1, CAPRIN2, UNC119, CALM3, ATM, DZIP1, DENND1C, CEP57, GSK3B, GPSM2, CLIC4, NUMA1, CETN3, CHD4, SNX10, CHD3, BICD1, HK2, IFT52, PCM1, CNTRL, KIF13A, CEP170, ERC1, ACADS, CEP290, NINL, LRRCC1, IQCB1, ARHGEF10, PPP1R12A, IFT140, CEP295, C4ORF47, TUBG2, AXIN2, CCSAP, CKAP5, DYNLL2, PJA2, MZT2B, RILPL1, TRAF5, EXOC4, ARHGEF7, KIZ, PAFAH1B1, DYNC1I2, RABGAP1, DCTN2, PLAG1, GNAI1, CDC42, IFT74, WRN, TMEM67, MVB12A, POC1B, PCNT, CLASP1, DYNC1H1, SLC16A1, ERCC6L2, HIPK1, TTC19, MIB1, MPHOSPH9, MARCKS, NIN, ALMS1, TCEA2, CEP162, CTNNB1, B9D1, PKN2, YPEL5, CLUAP1, CEP44",2549,502,12267,1.284605009,0.643213629,0.444272869,0.444272869
GOTERM_CC_DIRECT,GO:0005604~basement membrane,28,1,0.001299856,"LAMA5, CD151, LAMC1, NID1, EFNA5, LOXL2, EFEMP2, DST, LAMB2, SERPINF1, ERBIN, P3H2, CASK, HSPG2, TMEFF1, ATRN, SMOC2, DLG1, FRAS1, COL4A2, COL5A1, COL4A1, COL4A6, COL9A1, COL4A5, ANG, AGRN, FREM2",2549,74,12267,1.820936668,0.74247332,0.444272869,0.444272869
GOTERM_CC_DIRECT,GO:0031430~M band,10,0.357142857,0.001943026,"OBSCN, S100A1, NBR1, CMYA5, ENO1, ALDOA, SMTNL2, OBSL1, ANK1, SPTBN1",2549,16,12267,3.007797175,0.868473564,0.444272869,0.444272869
GOTERM_CC_DIRECT,GO:0005856~cytoskeleton,108,3.857142857,0.002129784,"FHOD3, RIPOR2, DIXDC1, FNBP1L, UXT, PPP1CC, BAIAP2L1, BASP1, ARL6IP5, LZTS3, CDK5RAP2, MYLIP, SLC30A9, FNBP1, TPM1, TSC1, ANK1, PREPL, AKAP9, PKP4, WDPCP, ANKRA2, UTRN, PFN2, EPB41, RHOBTB3, STK39, PPL, GLG1, EPB41L5, SNTG2, INPP5D, TTC21B, MAP2K6, BBS2, PTK2, FER, DNMBP, JMY, TENM1, CALCOCO2, SH3KBP1, KCNC3, LMOD1, HSPB1, BICD1, OSBPL10, AKAP12, SGCE, PCLO, TMSB4X, TCTN1, KIF13B, NOS1, SPTAN1, CEP290, JAK3, NEFH, DSP, CCDC110, PPP1R12A, DST, HSBP1, CEP295, TYK2, DYNLL2, CIT, ENAH, HCK, TMSB15A, CDC42EP5, ALDOC, PPP1R12B, LRP1, ROCK1, MVP, ADD3, UACA, ADD1, FGD4, FGD6, CTNNA1, FLNC, IGF2BP2, PLEKHH1, WASF3, FARP1, USP9X, SPAG4, KLHL3, CDC42BPB, CDC42BPA, PTPN14, SORBS3, LRPPRC, RSPH3, MYO1E, KRT19, PINK1, TEC, KLHL5, MYO15B, ABI2, KATNBL1, CCDC6, TRIP11, VIM, PTPN4",2549,400,12267,1.29936838,0.891795597,0.444272869,0.444272869
GOTERM_CC_DIRECT,GO:0005634~nucleus,987,35.25,0.006212871,"ATF2, ZNF296, TFRC, ZNF292, TESK2, ZDBF2, ZC3H12C, ALKBH5, LSM11, GPBP1, AKT3, BBX, TMEM8B, MEF2A, CHID1, WDHD1, ENDOG, TSTD1, STARD9, RFX3, DICER1, ZNF12, ZNF14, DDX39B, RFX5, TXNIP, ATF6, CLOCK, OPTN, ZNF276, EXD2, CRABP2, FIGNL2, BAZ2A, BAZ2B, AFMID, MYO6, PIP5K1A, LTA4H, ZNF264, HACE1, TIPARP, ZNF260, PBX3, PBX2, EIF2AK2, ZNF34, PBX1, DAZL, MOV10, MLLT10, AGO4, FAT1, PYDC1, DZIP1, EZH1, ZNF254, ZNF251, NCAPG2, BHLHE41, ZNF43, TDRP, ZNF44, SNX10, JRKL, TRIOBP, IKBKB, CHAF1B, MED14, NIPBL, MED13, APPL2, RMI2, CNOT6L, DUSP3, PGAM2, DUSP8, SIRT1, DYNLL2, LRRC41, MED28, DDB2, MED23, POT1, PPARA, DLD, PAFAH1B1, C11ORF54, TMF1, ZNF470, ZNF518B, ZNF518A, ZNF66, CCNDBP1, CENPC, WRN, PMS2, FLNB, ZNF227, ZNF226, ZNF467, NKTR, EGLN1, MBD5, EGLN3, ATAD5, USP9X, USP9Y, STAT2, ATAD2, ZNF77, GATAD2B, TARBP1, CENPH, YPEL1, ZNF217, PKN2, YPEL5, YPEL3, YPEL2, ZNF451, CCNT2, RIF1, C11ORF71, ZBTB21, ZBTB20, RORA, CASC3, SESN3, SESN1, ZNF449, PABPC4L, NEK1, KMT5B, KPNA5, SLC25A42, ZNF445, NUDT12, CDKL2, ZNF441, CDKL3, BNIP3L, ZNF681, IK, CDKL5, AGTPBP1, KHNYN, S100A1, KMT5C, FST, PIAS2, PIAS1, MSH6, OLFM2, MAF, DMTF1, MSH3, PKP4, ZNF678, ZNF677, SNRNP200, AJUBA, ZNF433, ZNF675, PVALB, ZNF431, KMT2E, KMT2A, KMT2C, ARL2, FHIT, NPAS1, FOXO1, HSP90B1, SAV1, ATXN1, TKFC, MED30, ZKSCAN8, ZKSCAN2, SMYD4, KHDC4, ZNF667, SMYD3, ZNF664, EVI5, ZKSCAN1, IP6K2, ZBTB18, NEK9, TIA1, ZBTB10, OGA, FOXN3, EEF2, QKI, NFKB2, DRAP1, MLXIPL, ZNF419, ZNF418, MDM2, ZNF658, MDM4, SP8, ZNF655, ZNF654, OGT, ZNF652, ZNF891, NUMA1, CELF2, AKAP8L, ONECUT1, CELF4, CELF5, HHEX, PPP1R13L, PPP6R2, ZNF404, HMG20A, ZNF644, CEP290, DSP, ZNF880, APAF1, DST, VBP1, ATRX, RAD23A, MSL1, NEMF, SYF2, ZNF638, LCOR, GAPDH, BIRC2, SPACA9, PRKAA2, UHRF2, LRP1, PPM1N, PBXIP1, MLLT3, PPM1E, CXXC4, MALT1, ZBTB41, CECR2, IFI16, TP53INP1, ZNF626, SH3BP4, IGF2BP3, IGF2BP2, ZNF621, HNRNPA1, FEM1B, TBX6, CTCFL, PINK1, SNRK, NOVA1, PDCD4, ZNF610, CCNI, FOXI3, IFI35, IKZF2, NUDT6, RCBTB1, UXT, LGALS1, SNRPD2, TRIM24, CPNE1, ZNF721, TRIM22, SMARCC1, ZFP2, FOXH1, NSMCE1, CIRBP, CSNK1E, ANK1, GCAT, THAP2, CFDP1, THAP5, ZNF717, ZNF714, MXRA8, ZNF711, BCORL1, L3MBTL1, EPB41, MYCBP2, PIK3R1, BRCC3, ZBTB4, TTBK2, MBTD1, BRIP1, MRNIP, PPCS, XRRA1, ZNF704, MIER1, HLTF, HIVEP1, ZBED1, SNX6, INTS2, SMARCA5, SMARCA1, HSPA12A, WAPL, PTK2, MED13L, ID2, PPP1R1B, ID4, NDUFAF3, CALM3, INTS6, RCOR2, SUGP2, TP73, CSRNP3, OTUD7B, N4BP2L2, PTMS, REV3L, ARIH1, ACADS, AASS, CCDC110, FOXD1, NCOA3, ZFR, PABPC5, COMMD3, CCDC117, COMMD6, SUPT3H, MN1, TOX3, PABPC1, PNCK, SATB1, XIAP, CAPG, PRKX, PRICKLE1, GNAI1, SH3BGRL, ZFP14, FAM172A, NFIL3, SERTAD2, HSF2, GPC4, ZNF585A, CAVIN1, ERCC6L2, HUWE1, MIAT, PER3, CCNG2, STK17B, CCNG1, TTC3, TCEA2, TCEA1, ZFP28, UBE3A, PRDM2, ACRBP, CARF, IGF1R, LOXL2, CCND2, ZNF83, CAPN7, CAPN2, SLC30A9, HFM1, FBXW11, ADAM10, RPP25L, POU3F4, SPOCD1, EEF1A1, ZNF91, HNRNPUL2, PPIE, HOMEZ, DDX6, UBA6, CACNA1A, NDRG2, NDRG1, SYCE3, RAI1, CAMTA1, PIBF1, TFAP2C, UBE2H, PHF11, CLK4, ZFHX4, CLK3, PAN2, APPBP2, BHLHE40, PHF13, TCF4, UBA1, FGF11, DDX3Y, YWHAE, GSK3B, RBM26, CHD7, HP1BP3, CHD6, HMGB2, PSIP1, CHD4, CHD3, TENT4A, CHD2, DNPH1, AFF1, GHR, UFL1, ZIC2, ZIC3, GATAD1, MYO18A, OLIG3, ABHD14B, OLIG1, TBC1D1, DPPA4, ELF3, NAA38, FBP1, LAMA5, DDX25, MVP, SAMHD1, ADD1, ATAD2B, CAND2, IFT74, PDLIM2, MTA1, MXI1, MVB12A, VHL, CRYM, MTA3, ATF7IP, NIPSNAP3A, TAF15, BNIP3, MX1, ZIC5, USF3, SOD3, MAPK10, UFM1, CCS, REST, TEF, KATNBL1, ERCC1, ERCC2, CFAP36, ERCC6, R3HDM2, TAF1, CYFIP2, SMC5, MSANTD4, ENO1, SOX21, GPATCH8, DCAF6, NYNRIN, ELK4, ZSCAN30, CREB3L4, ZMIZ1, SOX15, CREB3L1, MYB, VPS36, CDK5RAP3, DDX17, GAMT, TSPYL2, PRKCG, PRKCB, ZNF160, SOX11, WDR76, TSPYL5, ZNF397, ZNF154, ZNF395, PRKDC, ZNF391, HSPA4L, XPC, RNPC3, C9ORF72, LDHA, RAD21, ZNF146, SERF2, ZSCAN18, LHPP, CDK18, CDK19, PHC2, ZNF141, JUND, ZNF382, GTF2IRD2, RAB3IP, POU6F2, BRAF, NR1D2, PHC3, NFATC4, REL, HBP1, ZNF138, CDK13, ZNF135, CDK16, FANK1, PHF3, CDKN1C, CEP57, ZNF133, SETD5, SETD2, SMG1, CDKN1A, BTG2, BTG1, CDKN1B, ASH2L, PHF7, TRIM8, ING4, GLI4, UBL5, CSRP2, TMSB4X, ZNF280C, GPRASP2, TIGD1, TPI1, TIGD7, HSBP1, TESC, TCF12, TET2, TET1, SERPINB9, ASH1L, TERF1, CIT, GCHFR, RNF169, ZEB1, PLCB4, NCOR1, KIFC2, MTF2, ZNF117, SINHCAF, PLCB1, SGMS1, AHNAK, RNMT, FIGN, NSD3, NSD2, ANKRD54, CHML, BRD7, SF3B1, RUNX1T1, ZNF100, ZNF581, GSN, ZNF580, MGMT, AGL, CARD8, ELP2, ELP4, HIPK1, HIPK3, LRPPRC, HIPK2, WDR11, AGBL5, ZNF33A, RNF146, NFIA, ABI2, NFIB, ZNF337, ZNF577, ZNF334, ZNF333, ZNF331, ANKRD37, MRE11, FMR1, ANKRD33, CLSTN1, CTNND1, FGF2, IPO5, PPP1CB, NPEPPS, PPP1CC, HMGN4, SALL1, ZFP30, SALL3, SALL4, ZNF329, MACROD1, PAPOLA, CHP1, MACROD2, HMGN2, PHLDA1, ZFP37, ZNF563, GTF2I, TLE4, USP8, RALGAPA1, MAGI3, SWAP70, IGFBP3, USP3, MAGI2, DYRK1B, VRK3, CLIP3, CLIP1, KAT6B, KAT6A, MALAT1, PHIP, ADNP, ZNF555, TOX, SNRPA, ZNF793, BRSK1, ZNF791, TNKS, ANKRD11, UBR2, RLF, BTBD3, UBR5, TPR, ZNF785, MAP2K5, ZNF783, POLR3GL, CEP350, BTBD8, MOB1B, CDK6, SCCPDH, NBEA, YEATS2, BCL6, CNOT1, LHX1, NF1, ZNF532, ZNF770, CALCOCO1, BNC2, CALCOCO2, UFSP2, ZC3H6, DUSP18, ZFP82, SYNE2, SIN3A, TLK2, TLK1, PHACTR1, ZNF521, RFC1, ZNF75D, SMC1A, ZFP90, PTBP2, PKM, ZNF519, CTDSP1, ZNF516, NUMB, ZNF514, ANG, LCORL, NFAT5, HDAC1, RNF38, DPCD, HDAC9, ZNF507, ASCC3, ZNF740, FKTN, IRX1, PTPN18, IRX2, IRX3, AHNAK2, PTPN14, PNRC1, RAD50, ZNF738, IMPDH2, CEP162, CEBPZ, ZNF732, PFKM, ZNF730, TPT1, PFKP, CUL4B, APP, PANK3, ZMYND8, SOX2, ZNF608, PPP2R1A, ZNF605, ZNF844, LONP2, SOX9, MYOZ1, MAGEA4, SOX5, ESCO1, KRT7, UHMK1, INPP4A, KATNAL1, XRN1, RRAGB, KATNAL2, HSBP1L1, ANKRA2, NEIL1, ZFPM1, ALDH7A1, MAGED1, CSTF3, TSHZ2, STC1, NLK, FXR1, SPAST, FXR2, CMYA5, TP53BP1, RALGDS, ARGLU1, SPTBN1, SCAI, TRMT1L, ZRANB1, RABGAP1L, PARP14, TRERF1, GADD45G, PARP11, STAG2, CREBRF, ATM, MAGED2, ANP32B, RBAK, ATR, DCP1B, TOP2B, TENM1, CLIC4, TENM4, CITED2, ZFAS1, NKAP, RSF1, XPO1, ZMYM2, HINT3, ZMYM5, PRX, ZMYM6, UBXN7, CCHCR1, TSC22D1, STRADA, STRBP, TFE3, TFEB, TUBG2, TYK2, CBFA2T2, CBFA2T3, MLF1, RAD51B, HCK, HNRNPH1, MAPT, ALDOA, VGLL3, DNASE1L1, TYMS, RAD54B, PURA, CUX1, GPBP1L1, APBB1, TBL1X, PURG, CDX4, MYEF2, GDF15, ERBIN, SORBS2, SORBS3, MLH3, ATP5PO, CTNNB1, MEGF8, ZNF354C, FRA10AC1, TJP3, ARID4B, NUCKS1, BASP1, POGZ, MEIOC, KNTC1, TMEM38B, CMTR2, RALBP1, APLP2, KCTD1, TSC1, CDYL, RSBN1, PREPL, LOX, SCG5, TIMELESS, CHMP4B, LPP, STK3, EFNB1, ZMAT1, ZMAT4, PMAIP1, OTX2, RPRD1A, MYH10, BPTF, SMAD2, CBX7, SMAD4, CBX5, CBX4, NONO, PTCH1, CBX1, SMAD9, HELZ, POU2F2, SMAD5, SEPSECS, FER, LIN28B, DLG1, JMY, RFXAP, MYF6, BRWD1, FGFR3, BRWD3, FGFR2, FGFR1, KDM5A, KDM5B, USP37, KDM5D, USP32, USP34, HSPB1, YBX2, SENP6, RBM4, SENP7, HPF1, DBP, SNAPC3, PDE4A, POLL, POLK, NOS1, RBM5, RBM6, STPG1, KDM6B, KLF11, USP47, KLF13, PTGIS, CAMK1D, AXIN2, PPP2R5C, TGFBR1, LATS1, RBL2, AGAP9, LATS2, PALLD, MYH9, TERF2IP, DNASE1, FAN1, RBKS, KDM7A, CHMP5, USP13, SLFN5, KDM3A, CAMK2D, ABRAXAS1, USP11, UACA, TOB1, CIART, STRN3, MUC1, UGP2, FAM120B, S100PBP, HES4, TCFL5, SPEN, USP24, POLQ, TCF7L2, USP25, STN1, KDM4B, KDM4C, NAP1L3, ZFC3H1, NAP1L1, ARID3A, USP28, MEIS3, NAP1L5, SSBP2, PAXBP1, LPIN3",2549,4485,12267,1.05906651,0.998496919,0.976561054,0.976561054
GOTERM_CC_DIRECT,GO:0005777~peroxisome,31,1.107142857,0.007348214,"ABCD4, ECI2, PEX11B, HSD17B4, DEPP1, HMGCL, ACOXL, AKAP11, LONP2, XDH, NUDT12, GSTK1, PHYH, HSDL2, ACBD5, PNPLA8, EPHX2, IDH2, ECH1, MYO5A, PEX1, PEX13, SYT7, NUDT7, PEX6, PEX5, CAT, PIK3C3, TRIM37, VIM, PEX11G",2549,94,12267,1.587092978,0.999543757,0.976561054,0.976561054
GOTERM_CC_DIRECT,GO:0000792~heterochromatin,17,0.607142857,0.007490401,"ZBTB18, TOP2B, DDX6, PHC2, CBX5, UHRF2, KMT5C, HDAC1, ATRX, CBX1, PSIP1, SIRT1, WDR76, SALL1, SALL4, UBA1, EZH1",2549,42,12267,1.947906742,0.999607076,0.976561054,0.976561054
GOTERM_CC_DIRECT,GO:0016459~myosin complex,13,0.464285714,0.012739829,"MYO10, MYO5A, MYO9A, MYO1D, MYO1E, MYO15B, MYO5B, MYO6, MYO18A, MYH9, BMF, MYH10, CGNL1",2549,30,12267,2.085406042,0.999998443,1,1
GOTERM_CC_DIRECT,GO:0008023~transcription elongation factor complex,10,0.357142857,0.01275009,"ICE2, TCEA2, ELP2, ELP4, ERCC6, MLLT3, AFF4, ELL2, SUPT6H, AFF1",2549,20,12267,2.40623774,0.99999846,1,1
