Category,Term,Function_group,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR,Enrichment Score,Cluster
UP_SEQ_FEATURE,CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO2),Ubl conjugation,285,10.17857143,3.15E-23,"ZNF296, C5ORF24, ZMYND8, JMJD1C, MSANTD4, IKZF2, GPATCH8, ELK4, PNN, ALKBH5, ZNF608, LSM11, SNRPD2, ZSCAN30, ZMIZ1, CREB3L1, ZNF605, TRIM24, BBX, ZNF721, CDK5RAP3, TSPYL2, DDX17, FNBP4, WDHD1, SMARCC1, SMARCC2, ESCO1, SCAF11, ZNF160, KRT7, ZNF12, CD2AP, CFDP1, ZNF711, BCORL1, ATF6, ZNF397, TSHZ2, XPC, BAZ2A, BAZ2B, ZBTB4, GIGYF2, FXR1, RNF213, RAD21, MIER1, HLTF, MAP7, TNRC18, TP53BP1, ZNF148, ZNF146, TRMT1L, ZNF264, PHC2, SMARCA5, SMARCA1, PHC3, PRRC2B, NFATC4, MLLT10, TBL2, PDE3A, CDK13, RBAK, RCOR2, EZH1, SUGP2, TP73, ZNF133, PHF3, TOP2B, SETD2, ZNF251, BHLHE41, NKAP, RSF1, ZMYM2, CSRP2, ZMYM4, ZMYM5, ZNF280C, UBXN7, TCF12, TFE3, ZFR, ASH1L, TERF1, CBFA2T2, SUPT3H, RNF169, ZEB1, NCOR1, HNRNPH1, CSDE1, RBM12B, MTF2, VGLL3, AHNAK, SATB1, ZNF518B, GPALPP1, ZNF518A, TYMS, CENPC, NSD3, BCLAF3, WRN, NFIL3, CUX1, HSF2, CTNNA1, ZSWIM9, TBL1X, KANSL1L, ZNF467, BRD7, SF3B1, NKTR, MYEF2, ATAD5, CAVIN1, ZNF580, CAVIN3, ATAD2, HIPK1, GATAD2B, HIPK3, HIPK2, ZNF33A, ETAA1, CENPH, ZNF217, ZNF337, ZNF354C, ZNF331, ZNF451, MRE11, CCNT2, ZBTB25, ZBTB26, CTNND1, ZBTB21, ZBTB20, ARID4B, PRDM2, AMOT, SMCHD1, SALL1, ZFP30, BASP1, KIF5B, SALL4, POGZ, MACROD1, KMT5B, ARID2, ZNF445, GTF2I, CAST, PNISR, IK, KDM2A, SKIDA1, PIAS2, RSBN1, PIAS1, MAF, FAM161A, KAT6B, KAT6A, PHIP, ADNP, SNRNP200, HOMEZ, KMT2A, GPATCH2L, RLF, PHF21A, RAI1, ATXN2, ZKSCAN8, G3BP2, ZKSCAN2, ZNF664, ZKSCAN1, QSER1, BPTF, ZBTB18, SMAD4, CBX5, CBX4, NONO, CBX1, ZBTB10, ZFHX4, YEATS2, ZNF419, BHLHE40, RFXAP, ZNF658, UBA2, ZNF655, LSM14B, ZNF532, KDM5A, DDX3Y, KDM5B, ZNF770, RBM26, KDM5D, BNC2, NUMA1, CHD9, HP1BP3, PSIP1, CHD4, CHD3, ZFP82, AFF4, SENP6, RBM4, BCL7A, ZIC2, SIN3A, ZIC3, GATAD1, ZNF644, ZNF521, RBM33, RBM6, KDM6B, SUN1, CAMK1D, RFC1, ATRX, DDX50, ZFP90, MSL1, PKM, SYF2, ZNF638, ZNF516, TERF2IP, LCOR, LCORL, GAPDH, USP13, SLFN5, NFAT5, KDM3B, HDAC1, MVP, ADD3, MLLT3, SAMHD1, UACA, MTA1, IFI16, FCHO2, IGF2BP3, HNRNPA1, BEND7, ZNF740, BEND5, EIF4B, TTC14, ATF7IP, TCF7L2, TAF15, MGA, AHNAK2, ARID3A, USP28, ERCC1, IMPDH2, POLR3D, EIF3H, SNRNP48, ERCC6, VIM, ZNF610, TAF1",2621,1267,20532,1.762107825,2.89E-19,7.23E-20,7.21E-20,16.59556969,1
UP_KW_PTM,KW-0832~Ubl conjugation,Ubl conjugation,514,18.35714286,2.85E-17,"ZNF296, C5ORF24, SMC5, MSANTD4, ENO1, ENO2, GPATCH8, ELK4, ALKBH5, LSM11, ZSCAN30, ZMIZ1, CREB3L1, MYB, AKT3, BBX, CDK5RAP3, MEF2A, DDX17, PRKCG, TSPYL2, FNBP4, WDHD1, ZNF160, ZNF12, CD2AP, DDX39B, FEZ1, DDIT4, TXNIP, CLOCK, ATF6, ZNF397, CRABP2, PRKDC, NEDD4L, XPC, BAZ2A, BAZ2B, GIGYF2, LDHA, RNF213, RHOT1, RAD21, PIP5K1A, ZNF148, ZNF146, ZNF264, FZD3, PHC2, FZD2, FZD6, FZD8, EIF2AK2, BRAF, NR1D2, PHC3, ELL2, WDR54, PRRC2B, NFATC4, MLLT10, TBL2, AGO3, AGO4, HBP1, CDK13, EZH1, FANK1, ZNF133, PHF3, GPI, CDKN1A, SETD2, CDKN1B, ZNF251, BHLHE41, HIF3A, TRIOBP, IKBKB, CSRP2, TRIM2, TMSB4X, ZNF280C, NEFL, NINL, TPI1, TCF12, ASH1L, TERF1, DDB2, BACE1, RNF169, NCOR1, ZEB1, MTF2, AHNAK, ZNF518B, ZNF518A, CENPC, GGA2, NSD3, BCLAF3, WRN, ZSWIM9, FLNB, RICTOR, FLNC, BRD7, ZNF467, SF3B1, NKTR, EGLN3, ATAD5, ZNF580, AGL, CARD8, STAT2, ATAD2, HIPK1, FMO4, GATAD2B, HIPK3, HIPK2, ZNF33A, RNF146, CENPH, ZNF217, ZNF337, YPEL3, ZNF331, ZNF451, ANKRD37, MRE11, CCNT2, ZBTB25, FMR1, ZBTB26, CTNND1, ZBTB21, ZBTB20, RORA, CASC3, FGF2, SMCHD1, SALL1, DEPTOR, ZFP30, CDH1, SALL4, MACROD1, PAPOLA, KMT5B, MACROD2, HMGN2, ZNF445, GTF2I, TLE4, PNISR, MYLIP, USP8, IK, STX8, MAGI3, SKIDA1, PIAS2, PIAS1, MAF, KAT6B, KAT6A, FKBP8, PHIP, ADNP, SNRNP200, CUL9, KMT2E, CUL7, KMT2A, CUL5, TNKS, INSIG2, BOD1L1, ARL2, GPATCH2L, RLF, PHF21A, FOXO1, ATXN2, ATXN1, BCL2L11, ZKSCAN8, G3BP2, ZKSCAN2, EVI5, ZNF664, ZKSCAN1, DRD4, ZBTB18, ZBTB10, EEF2, NFKB2, MFHAS1, YEATS2, BCL6, ZNF419, MDM2, ZNF658, RNF181, MDM4, ZNF655, OGT, ZNF532, ZNF770, FLT1, BNC2, NUMA1, PTEN, ZFP82, SGCE, SIN3A, ZNF644, CEP290, ZNF521, DST, RFC1, ATRX, RAD23A, SMC1A, ZFP90, MSL1, PKM, SYF2, ZNF638, ZNF516, NUMB, LCOR, PIK3C3, LCORL, GAPDH, BIRC2, TRIM56, NFAT5, PRKAA2, UHRF2, PLAG1, HDAC1, MLLT3, HDAC9, LRP6, IFI16, FCHO2, IGF2BP3, HNRNPA1, BEND7, FNIP1, ZNF740, BEND5, EIF4B, MGA, AHNAK2, KLF4, PTPN14, KLF8, IMPDH2, POLR3D, PDCD4, EIF3H, SNRNP48, TRIM37, ZNF610, CUL4B, IFITM3, APP, ZMYND8, DIXDC1, CCP110, JMJD1C, CBLB, IKZF2, SOX2, PNN, ZNF608, SNRPD2, ZNF605, PEG10, TRIM24, SOX9, ZNF721, TRIM22, SMARCC1, SMARCC2, ESCO1, SCAF11, NSMCE1, KRT7, HLA-A, CFDP1, KATNAL1, PPP1R3C, RRAGB, ZNF711, BCORL1, L3MBTL1, MYCBP2, TSHZ2, PIK3R1, ZBTB4, FXR1, MIER1, HLTF, MAP7, ZBED1, TNRC18, CEP192, TP53BP1, N4BP2, SEC31B, TRMT1L, TRPM4, SMARCA5, SMARCA1, PTK2, BST2, WNK1, WNK3, PDE3A, CALM3, RBAK, RCOR2, SUGP2, TP73, TOP2B, SH3KBP1, NKAP, RSF1, VLDLR, ROBO1, AKAP12, PCM1, ZMYM2, ZMYM4, ZMYM5, UBXN7, MAP4K1, ZFR, TFE3, TFEB, CBFA2T2, SUPT3H, HCK, HNRNPH1, CSDE1, RBM12B, MAPT, ALDOA, VGLL3, SATB1, GPALPP1, XIAP, TYMS, NOL3, CUX1, NFIL3, SERTAD2, HSF2, CTNNA1, APBB1, TBL1X, KANSL1L, PAK3, EPS15, MAP3K2, MYEF2, CAVIN1, CAVIN3, MIB2, SORBS2, RSRC2, MIB1, ETAA1, ITCH, MPHOSPH9, PER3, AXL, TCEA2, CTNNB1, TCEA1, ZNF354C, ARID4B, PRDM2, TOMM20, AMOT, IGF1R, PAIP2B, CCND2, BASP1, KIF5B, POGZ, ARID2, CAST, KDM2A, KCTD1, RSBN1, EEF1A1, FAM161A, SCN8A, SCNN1A, SELENOV, CHMP4B, HOMEZ, DDX6, LPP, RAI1, QSER1, BPTF, SMAD2, UBE2H, TFAP2C, SMAD4, CBX5, CBX4, PTCH1, NONO, CBX1, KLHL24, ZFHX4, FER, DLG1, UVSSA, BHLHE40, JMY, RFXAP, CHMP2A, UBA2, UBA1, LSM14B, FGFR3, COPE, FGFR2, FGFR1, YWHAE, DDX3Y, KDM5A, KDM5B, USP37, KDM5D, RBM26, MEGF10, CHD9, HP1BP3, PSIP1, CHD4, CHD3, AFF4, CABIN1, SENP6, GHR, RBM4, UFL1, ZIC2, BCL7A, ZIC3, ENOSF1, GATAD1, PDE4A, POLI, NOS1, RBM33, RBM6, KDM6B, ARHGEF11, SUN1, CAMK1D, AXIN2, DDX50, TGFBR1, EPN2, PEX5, TERF2IP, MYH9, FAN1, CHMP5, USP13, SLFN5, KDM3B, MVP, ACVR1B, ADD3, SAMHD1, UACA, DLL1, DLL3, CAND2, MTA1, TTC14, IGBP1, ATF7IP, USP25, TCF7L2, TAF15, MX1, ARID3A, USP28, EPOR, UFM1, CCS, REST, ERCC1, ERCC2, KRAS, ERCC6, VIM, PAXBP1, TAF1",2046,2583,14109,1.372237606,9.70E-16,4.99E-16,4.85E-16,16.59556969,1
UP_KW_PTM,KW-1017~Isopeptide bond,Ubl conjugation,361,12.89285714,1.82E-11,"IFITM3, APP, ZNF296, C5ORF24, ZMYND8, JMJD1C, MSANTD4, ENO1, IKZF2, ENO2, GPATCH8, SOX2, ELK4, PNN, ALKBH5, ZNF608, LSM11, SNRPD2, ZSCAN30, ZMIZ1, PEG10, CREB3L1, ZNF605, MYB, TRIM24, BBX, SOX9, ZNF721, CDK5RAP3, TSPYL2, MEF2A, DDX17, FNBP4, WDHD1, SMARCC1, SMARCC2, ESCO1, SCAF11, ZNF160, KRT7, ZNF12, CD2AP, CFDP1, DDX39B, RRAGB, TXNIP, ZNF711, BCORL1, CLOCK, ATF6, ZNF397, CRABP2, TSHZ2, XPC, BAZ2A, BAZ2B, ZBTB4, GIGYF2, FXR1, LDHA, RNF213, RAD21, MIER1, HLTF, MAP7, PIP5K1A, TNRC18, TP53BP1, ZNF148, ZNF146, TRMT1L, ZNF264, PHC2, SMARCA5, EIF2AK2, BRAF, SMARCA1, PHC3, PTK2, PRRC2B, NFATC4, BST2, MLLT10, TBL2, PDE3A, CALM3, CDK13, RBAK, RCOR2, EZH1, SUGP2, TP73, ZNF133, PHF3, TOP2B, SETD2, ZNF251, BHLHE41, NKAP, RSF1, VLDLR, HIF3A, AKAP12, IKBKB, ZMYM2, CSRP2, ZMYM4, TMSB4X, ZMYM5, ZNF280C, UBXN7, TPI1, TCF12, TFE3, ZFR, ASH1L, TERF1, CBFA2T2, SUPT3H, BACE1, RNF169, ZEB1, NCOR1, HNRNPH1, CSDE1, RBM12B, MTF2, MAPT, ALDOA, VGLL3, AHNAK, SATB1, ZNF518B, GPALPP1, ZNF518A, XIAP, TYMS, CENPC, NSD3, BCLAF3, WRN, NFIL3, CUX1, HSF2, CTNNA1, ZSWIM9, FLNB, RICTOR, TBL1X, KANSL1L, ZNF467, BRD7, SF3B1, NKTR, MYEF2, ATAD5, CAVIN1, ZNF580, CAVIN3, ATAD2, RSRC2, HIPK1, FMO4, GATAD2B, HIPK3, HIPK2, ZNF33A, RNF146, ETAA1, MPHOSPH9, CENPH, TCEA2, ZNF217, TCEA1, ZNF337, ZNF354C, ZNF331, ZNF451, MRE11, CCNT2, ZBTB25, ZBTB26, CTNND1, ZBTB21, ZBTB20, ARID4B, PRDM2, RORA, TOMM20, FGF2, AMOT, IGF1R, SMCHD1, SALL1, ZFP30, BASP1, KIF5B, SALL4, POGZ, PAPOLA, MACROD1, KMT5B, MACROD2, HMGN2, ARID2, ZNF445, GTF2I, CAST, PNISR, IK, KDM2A, SKIDA1, PIAS2, RSBN1, PIAS1, MAF, FAM161A, KAT6B, KAT6A, FKBP8, PHIP, ADNP, SNRNP200, HOMEZ, CUL7, KMT2A, CUL5, BOD1L1, ARL2, GPATCH2L, RLF, LPP, PHF21A, RAI1, ATXN2, ATXN1, ZKSCAN8, G3BP2, ZKSCAN2, ZNF664, ZKSCAN1, QSER1, BPTF, ZBTB18, TFAP2C, SMAD4, CBX5, CBX4, PTCH1, NONO, CBX1, ZBTB10, EEF2, ZFHX4, NFKB2, YEATS2, ZNF419, BHLHE40, RFXAP, ZNF658, UBA2, ZNF655, LSM14B, ZNF532, KDM5A, YWHAE, DDX3Y, KDM5B, ZNF770, RBM26, KDM5D, BNC2, NUMA1, CHD9, HP1BP3, PTEN, PSIP1, CHD4, CHD3, ZFP82, AFF4, SENP6, RBM4, BCL7A, ZIC2, SIN3A, ZIC3, GATAD1, PDE4A, ZNF644, ZNF521, RBM33, RBM6, KDM6B, SUN1, CAMK1D, DST, RFC1, ATRX, RAD23A, DDX50, ZFP90, TGFBR1, MSL1, PKM, SYF2, ZNF638, ZNF516, TERF2IP, LCOR, LCORL, GAPDH, USP13, SLFN5, NFAT5, KDM3B, PLAG1, HDAC1, MVP, ADD3, MLLT3, SAMHD1, UACA, DLL1, LRP6, MTA1, IFI16, FCHO2, IGF2BP3, HNRNPA1, BEND7, FNIP1, ZNF740, BEND5, EIF4B, TTC14, ATF7IP, USP25, TCF7L2, TAF15, MGA, AHNAK2, ARID3A, KLF4, USP28, EPOR, KLF8, CCS, UFM1, ERCC1, IMPDH2, POLR3D, EIF3H, KRAS, SNRNP48, ERCC6, VIM, ZNF610, PAXBP1, TAF1, CUL4B",2046,1817,14109,1.370070384,6.18E-10,2.12E-10,2.06E-10,16.59556969,1
INTERPRO,"IPR001965:Zinc finger, PHD-type",TF,36,1.285714286,9.84E-10,"KMT2E, KDM5A, PHF3, KDM5B, KDM5D, KMT2A, UHRF2, PHF20, KMT2C, ZMYND8, CHD4, BAZ2A, RSF1, CHD3, BAZ2B, PHF7, PHF21A, PHF21B, ING4, NSD3, RAI1, NSD2, TRIM24, BPTF, SHPRH, KDM4B, KDM2A, KDM4C, PHF11, ASH1L, MLLT10, KAT6B, KAT6A, MTF2, PHF13, KDM7A",2508,91,19176,3.024764709,2.83E-06,1.41E-06,1.40E-06,6.145814145,2
SMART,SM00249:PHD,TF,36,1.285714286,2.35E-08,"KMT2E, KDM5A, PHF3, KDM5B, KDM5D, KMT2A, UHRF2, PHF20, KMT2C, ZMYND8, CHD4, BAZ2A, RSF1, CHD3, BAZ2B, PHF7, PHF21A, PHF21B, ING4, NSD3, RAI1, NSD2, TRIM24, BPTF, SHPRH, KDM4B, KDM2A, KDM4C, PHF11, ASH1L, MLLT10, KAT6B, KAT6A, MTF2, PHF13, KDM7A",1535,91,10379,2.674904249,1.29E-05,1.29E-05,1.27E-05,6.145814145,2
INTERPRO,"IPR011011:Zinc finger, FYVE/PHD-type",TF,44,1.571428571,3.79E-08,"KMT2E, KDM5A, PHF3, KDM5B, MTMR3, KDM5D, KMT2A, UHRF2, ZFYVE9, PHF20, KMT2C, ZMYND8, CHD4, BAZ2A, RSF1, CHD3, BAZ2B, PHF7, PHF21A, PHF21B, ING4, EEA1, NSD3, FGD4, FGD6, PCLO, NSD2, TRIM24, BPTF, SHPRH, KDM4B, KDM2A, KDM4C, ATRX, PHF11, ASH1L, MLLT10, ZFYVE16, KAT6B, KAT6A, MTF2, PHF13, WDFY3, KDM7A",2508,140,19176,2.403007519,1.09E-04,3.21E-05,3.19E-05,6.145814145,2
INTERPRO,"IPR019787:Zinc finger, PHD-finger",TF,29,1.035714286,4.60E-07,"KMT2E, KDM5A, PHF3, KDM5B, KDM5D, KMT2A, UHRF2, KMT2C, ZMYND8, CHD4, BAZ2A, RSF1, CHD3, BAZ2B, PHF21A, PHF21B, ING4, NSD3, NSD2, TRIM24, BPTF, KDM2A, ASH1L, MLLT10, KAT6B, KAT6A, MTF2, PHF13, KDM7A",2508,80,19176,2.771650718,0.001319878,2.20E-04,2.19E-04,6.145814145,2
UP_SEQ_FEATURE,DOMAIN:PHD-type,TF,27,0.964285714,6.75E-07,"KMT2E, PHF3, KDM5B, KDM5D, KMT2A, KMT2C, ZMYND8, CHD4, BAZ2A, RSF1, CHD3, PHF7, PHF21A, PHF21B, RAI1, NSD2, TRIM24, BPTF, KDM4B, KDM2A, KDM4C, ATRX, PHF11, MLLT10, KAT6B, KAT6A, MTF2",2621,74,20532,2.858224115,0.006178307,3.65E-04,3.63E-04,6.145814145,2
UP_SEQ_FEATURE,ZN_FING:PHD-type,TF,20,0.714285714,5.64E-06,"KMT2E, PHF3, SHPRH, KDM2A, UHRF2, PHF20, ZMYND8, PHF11, BAZ2A, RSF1, BAZ2B, ASH1L, PHF7, PHF21A, PHF21B, ING4, RAI1, TRIM24, PHF13, KDM7A",2621,50,20532,3.133460511,0.050416173,0.002249188,0.002241099,6.145814145,2
UP_SEQ_FEATURE,ZN_FING:PHD-type 2,TF,16,0.571428571,2.19E-05,"KDM5A, KDM5B, KDM4B, KDM4C, KDM5D, KMT2A, KMT2C, CHD4, CHD3, NSD3, MLLT10, KAT6B, KAT6A, MTF2, NSD2, BPTF",2621,37,20532,3.387524877,0.182158754,0.007181601,0.007155774,6.145814145,2
